,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
91,2020-08-14,2330,24259947,10332447763,424.0,428.0,423.0,427.0,-2.0,12642
92,2020-08-17,2330,34607731,14930831216,427.0,435.0,425.5,435.0,8.0,20823
93,2020-08-18,2330,45504160,19824413320,440.0,440.5,432.0,433.0,-2.0,21119
94,2020-08-19,2330,31486800,13574970200,436.0,436.5,427.5,427.5,-5.5,18279
95,2020-08-20,2330,75155235,31353886930,427.0,427.5,401.0,415.0,-12.5,45670
96,2020-08-21,2330,41956467,17770610338,421.5,427.0,420.0,424.5,9.5,23059
97,2020-08-24,2330,49199406,21139093710,427.5,434.5,425.0,428.0,3.5,24672
98,2020-08-25,2330,37024899,16076146369,433.5,436.0,430.5,434.5,6.5,22035
99,2020-08-26,2330,41406340,18169230108,435.5,442.0,435.0,442.0,7.5,25305
100,2020-08-27,2330,57206712,25658355402,448.0,453.5,444.0,444.0,2.0,31575
101,2020-08-28,2330,57039210,24868453700,440.0,440.5,431.0,435.0,-9.0,35253
102,2020-08-31,2330,88569538,38106113563,437.0,439.5,426.5,426.5,-8.5,28294
103,2020-09-01,2330,50129577,21681382412,430.0,435.0,428.0,435.0,8.5,17137
104,2020-09-02,2330,42013407,18268716092,441.0,441.0,430.5,433.0,-2.0,20242
105,2020-09-03,2330,40683617,17768951582,439.5,439.5,433.5,436.0,3.0,17810
106,2020-09-04,2330,51349911,22051596821,427.0,432.5,427.0,429.0,-7.0,27893
107,2020-09-07,2330,39854584,17060627028,428.0,432.5,425.0,426.0,-3.0,20003
108,2020-09-08,2330,23714670,10208232440,428.0,433.0,427.5,431.0,5.0,12440
109,2020-09-09,2330,40727362,17312991408,425.0,428.0,423.0,427.0,-4.0,21740
110,2020-09-10,2330,35281921,15275112115,432.5,435.0,430.5,435.0,8.0,18244
111,2020-09-11,2330,34893469,15171902036,435.5,436.5,432.5,436.5,1.5,14647
112,2020-09-14,2330,39325833,17282659859,436.0,442.0,435.5,441.0,4.5,19854
113,2020-09-15,2330,39661449,17608049536,440.5,447.0,439.5,445.0,4.0,21845
114,2020-09-16,2330,70608238,32379722344,460.0,462.0,455.5,458.0,13.0,38172
115,2020-09-17,2330,44420506,20006793320,453.0,455.0,446.5,448.5,0.0,26718
116,2020-09-18,2330,52999922,23598268654,447.0,449.5,443.0,444.0,-4.5,20849
117,2020-09-21,2330,40193920,17842486882,443.5,450.0,440.0,440.0,-4.0,25834
118,2020-09-22,2330,36842639,16140184501,440.0,441.0,436.0,437.0,-3.0,22692
119,2020-09-23,2330,47426963,20592831368,436.0,438.5,432.0,433.5,-3.5,27828
120,2020-09-24,2330,82510381,35076048246,425.5,429.0,423.0,423.0,-10.5,54922
121,2020-09-25,2330,41263269,17522224043,427.0,428.0,421.0,424.0,1.0,23290
122,2020-09-28,2330,34427479,14758341446,427.0,431.5,424.5,431.5,7.5,19286
123,2020-09-29,2330,42730502,18419905574,432.5,435.0,428.0,431.0,-0.5,18647
124,2020-09-30,2330,28859204,12496613056,430.5,435.0,430.5,433.0,2.0,14203
125,2020-10-05,2330,33238832,14450407588,438.0,438.0,431.5,432.5,-0.5,18148
126,2020-10-06,2330,36276395,15935558262,441.5,442.0,437.5,439.5,7.0,20189
127,2020-10-07,2330,44691239,19693987093,435.0,445.0,435.0,443.0,3.5,24438
128,2020-10-08,2330,60853811,27461867933,450.0,454.0,448.5,453.0,10.0,37378
129,2020-10-12,2330,67645223,31061721030,458.0,462.0,457.5,460.0,7.0,36118
130,2020-10-13,2330,46303738,21346346714,465.0,465.0,456.5,462.0,2.0,25938
131,2020-10-14,2330,52677241,24157138176,460.5,461.0,457.0,459.0,-3.0,22599
132,2020-10-15,2330,49987278,22668836399,456.0,456.5,450.0,453.0,-6.0,23794
133,2020-10-16,2330,48274801,21775749575,451.0,456.0,448.5,449.0,-4.0,26602
134,2020-10-19,2330,34846906,15854021670,453.0,457.5,451.0,457.5,8.5,17112
135,2020-10-20,2330,26567638,12065806730,455.5,457.0,451.0,451.0,-6.5,12725
136,2020-10-21,2330,29906921,13561798906,453.5,456.0,451.0,453.0,2.0,15490
137,2020-10-22,2330,25285547,11435937453,450.0,455.0,449.5,455.0,2.0,10354
138,2020-10-23,2330,18777385,8516604326,458.0,458.0,451.5,452.0,-3.0,9909
139,2020-10-26,2330,15800622,7136001014,455.0,455.0,450.0,450.0,-2.0,17664
140,2020-10-27,2330,31795010,14213282507,447.5,448.5,445.5,447.0,-3.0,30644
141,2020-10-28,2330,26221663,11660544725,445.0,447.0,443.0,444.0,-3.0,35598
142,2020-10-29,2330,43075387,18832675652,436.5,439.5,435.5,437.0,-7.0,55027
143,2020-10-30,2330,49770771,21614729093,437.0,437.0,432.0,432.0,-5.0,46871
144,2020-11-02,2330,34539576,14901775161,433.0,435.5,428.0,435.5,3.5,35704
145,2020-11-03,2330,31461727,13852498196,439.5,443.0,438.0,441.0,5.5,21031
146,2020-11-04,2330,37929652,16969841989,444.5,451.5,443.0,450.0,9.0,30087
147,2020-11-05,2330,36539446,16404944484,451.5,451.5,445.5,451.0,1.0,24764
148,2020-11-06,2330,32644190,14788989058,455.0,455.5,450.0,452.5,1.5,20999
149,2020-11-09,2330,43415670,19865414906,458.0,460.0,454.0,458.5,6.0,27868
150,2020-11-10,2330,36786882,16610287996,452.0,454.5,448.5,451.0,-7.5,31009
151,2020-11-11,2330,40355804,18326545251,448.5,457.0,448.5,457.0,6.0,23150
152,2020-11-12,2330,57993774,26690353577,463.0,463.5,457.5,458.0,1.0,28011
153,2020-11-13,2330,31483881,14478873331,459.0,462.0,456.5,462.0,4.0,21663
154,2020-11-16,2330,83380911,39658459663,470.0,484.5,469.0,484.0,22.0,67363
155,2020-11-17,2330,75763870,37446278783,502.0,506.0,485.5,485.5,1.5,68560
156,2020-11-18,2330,56607501,27883387314,490.0,497.0,486.5,497.0,11.5,38186
157,2020-11-19,2330,47345316,23320435165,499.0,499.0,490.0,490.0,-7.0,40198
158,2020-11-20,2330,35242579,17191897556,486.0,490.0,486.0,488.0,-2.0,30557
159,2020-11-23,2330,43708352,21661263304,494.5,498.5,492.0,496.5,8.5,26794
160,2020-11-24,2330,38630079,19113408398,499.5,500.0,491.5,492.0,-4.5,34407
161,2020-11-25,2330,47179640,23142083458,495.0,495.5,487.0,487.0,-5.0,40066
162,2020-11-26,2330,31844322,15606951086,489.0,493.5,488.0,489.0,2.0,19587
163,2020-11-27,2330,35196829,17205872680,487.5,492.0,486.5,489.0,0.0,21314
164,2020-11-30,2330,149311778,72095050187,493.0,493.5,480.5,480.5,-8.5,49362
165,2020-12-01,2330,38341265,18719729411,489.5,490.0,483.5,490.0,9.5,24827
166,2020-12-02,2330,60208035,29970556095,499.5,500.0,493.5,499.0,9.0,35624
167,2020-12-03,2330,36919644,18369786608,499.5,499.5,495.0,497.0,-2.0,25651
168,2020-12-04,2330,54471042,27307472890,498.5,505.0,497.5,503.0,6.0,35708
169,2020-12-07,2330,45493551,23243392840,512.0,515.0,506.0,514.0,11.0,34767
170,2020-12-08,2330,41830257,21673267551,514.0,525.0,509.0,524.0,10.0,35895
171,2020-12-09,2330,46831705,24416275048,521.0,524.0,520.0,520.0,-4.0,31749
172,2020-12-10,2330,43991133,22516917355,511.0,515.0,510.0,512.0,-8.0,49079
